State,rurality,rural,Dec_Gov,Dec_Health,Dec_Total,Jan_Gov,Jan_Health,Jan_Total,Feb_Gov,Feb_Health,Feb_Total,Mar_Gov,Mar_Health,Mar_Total,Apr_Gov,Apr_Health,Apr_Total,May_Gov,May_Health,May_Total,Jun_Gov,Jun_Health,Jun_Total,-,July_Health,July_Total,Aug_Gov,Aug_Health,Aug_Total,Sep_Gov,Sep_Health,Sep_Total,Grand_total
Alabama,0.496098887,1,0,1,7,0,1,2,0,1,2,1,2,12,0,3,9,1,12,13,0,0,1,0,1,2,0,4,4,0,4,4,56
Alaska,0.742923992,2,0,0,0,0,0,2,2,0,2,2,3,5,0,0,2,0,0,0,0,1,1,0,0,1,1,2,3,2,0,3,19
Arizona,0.501313025,1,6,4,12,5,18,24,7,7,14,6,18,24,5,14,20,4,8,12,3,8,13,4,1,6,4,7,12,4,7,13,150
Arkansas,0.524999713,2,0,2,7,2,1,3,1,2,4,6,3,10,2,0,3,1,2,3,2,1,3,2,16,18,7,0,7,0,2,2,60
California,0.440637855,0,3,3,9,4,3,8,1,2,8,2,4,8,2,2,4,5,1,7,6,5,11,2,3,9,3,3,10,1,4,9,83
Colorado,0.550803351,2,2,7,9,0,7,10,0,5,6,5,10,16,0,18,20,1,11,14,3,17,23,3,12,16,2,16,18,5,20,25,157
Connecticut,0.320687465,0,20,1,25,18,0,19,21,3,30,23,2,26,19,2,24,24,3,31,12,2,16,12,1,18,15,9,31,24,8,38,258
DC,0.095991571,0,0,1,1,3,2,5,3,2,5,3,0,3,6,0,6,3,4,7,7,0,7,9,0,9,2,0,2,4,0,4,49
Delaware,0.359825302,0,21,7,29,13,6,21,17,2,23,10,3,17,12,1,16,17,8,30,7,5,15,12,1,16,6,1,11,2,9,14,192
Florida,0.431897301,0,3,1,6,3,3,6,4,1,6,1,1,2,0,0,0,1,1,2,0,0,0,0,1,1,1,0,1,1,0,1,25
Georgia,0.48330984,1,2,8,10,1,6,7,5,5,12,8,7,17,8,3,12,2,1,5,0,3,3,0,1,1,0,2,2,2,4,7,76
Hawaii,0.424009825,0,5,13,18,2,12,14,5,14,20,9,18,27,5,5,11,2,4,7,5,6,11,3,2,5,5,6,14,9,1,11,138
Idaho,0.561783197,2,1,1,4,1,3,6,1,0,3,0,1,2,0,0,2,4,1,5,0,0,0,1,0,1,1,0,2,0,2,2,27
Illinois,0.491560037,1,1,2,5,4,0,13,5,2,7,11,3,17,3,1,6,2,2,6,3,3,6,3,1,4,2,3,7,3,3,9,80
Indiana,0.475577972,1,6,5,14,0,0,1,1,1,2,0,2,3,0,0,2,2,0,4,0,1,3,1,2,7,2,0,4,1,3,5,45
Iowa,0.531932176,2,1,9,10,0,4,7,2,4,6,0,4,6,0,6,6,2,5,7,1,1,2,1,5,6,0,2,3,1,1,2,55
Kansas,0.57373402,2,6,0,6,6,2,8,6,0,6,5,0,5,6,0,6,6,0,6,9,0,9,0,0,0,5,0,5,7,0,7,58
